title,author,content
R语言学习 第十一篇：日期和时间 - 悦光阴,悦光阴,R语言的基础包中提供了三种基本类型用于处理日期和时间，Date用于处理日期，它不包括时间和时区信息；POSIXct/POSIXlt用于处理日期和时间，其中包括了日期、时间和时区信息。R内部在存储日期和时间时，使用不同的方式： Date类：存储了从1970年1月1日以来开始计算的天数，更早的日期表示为
二分查找算法实现（图解）与实例 - IDreamo,IDreamo,现在我们来玩一个猜数的游戏，假设有一个人要我们猜0-99之间的一个数。那么最好的方法就是从0-99的中间数49开始猜。如果要猜的数小于49，就猜24（0-48的中间数）；如果要猜的数大于49，就猜74（50-99的中间数）。重复这个过程来缩小猜测的范围，直到猜出正确的数字。二分查找的工作方法类似于此
微软黑科技强力注入，.NET C#全面支持人工智能 - dncNew,dncNew,"微软黑科技强力注入，.NET C#全面支持人工智能，AI编程领域开始C#、Py……百花齐放 就像武侠小说中，一个普通人突然得到绝世高手的几十年内力注入，招式还没学，一身内力有点方 Introducing ML.NET: Cross-platform, Proven and Open Source M"
Apache Flink 流处理实例 - wander4096,wander4096,维基百科在 IRC 频道上记录 Wiki 被修改的日志，我们可以通过监听这个 IRC 频道，来实时监控给定时间窗口内的修改事件。Apache Flink 作为流计算引擎，非常适合处理流数据，并且，类似于 Hadoop MapReduce 等框架，Flink 提供了非常良好的抽象，使得业务逻辑代码编写
NewLife.Net——构建可靠的网络服务 - 大石头,大石头,网络程序应该注册成为系统服务，以保证其自启动以及稳定可靠运行！ 这一场，讲讲怎么建立一个生产级别的网络服务。
【Java入门提高篇】Day16 Java异常处理（上） - 弗兰克的猫,弗兰克的猫,当当当当当当，各位看官，好久不见，甚是想念。 今天我们来聊聊Java里的一个小妖精，那就是异常。 什么是异常？什么是异常处理？ 异常嘛，顾名思义就是不正常，（逃），是Java程序运行时，发生的预料之外的事情，它阻止了程序按照程序员的预期正常执行。 异常处理，应该说异常处理机制，就是专门用来制服这个小
spring cloud 入门系列六：使用Zuul 实现API网关服务 - JAVA开发老菜鸟,JAVA开发老菜鸟,通过前面几次的分享，我们了解了微服务架构的几个核心设施，通过这些组件我们可以搭建简单的微服务架构系统。比如通过Spring Cloud Eureka搭建高可用的服务注册中心并实现服务的注册和发现； 通过Spring Cloud Ribbon或Feign进行负载均衡；通过Spring Cloud Hy
JeeSite数据分页与翻页 - tosser,tosser,本文章介绍的是JeeSite开源项目二次开发时的一些笔记，对于没有使用过JeeSite的可以不用往下看了，因为下面的代码是跟JeeSite二次开发相关的代码，不做JeeSite的二次开发，以下代码对您无用，在这里友情提醒，避免浪费您宝贵的时间。 翻页功能在各种项目中都会用到，在JeeSite开源项目
使用 Babylon.js 在 HTML 页面加载 3D 对象 - 张高兴,张高兴,"五一 ""Windwos Blogs"" 推了一篇博客， Babylon.js v3.2 发布了。因为一直有想要在自己博客上加载 3D 对象的冲动，这两天正好看到了，就动手研究研究。本人之前也并没有接触过 WebGL ，这方面算是知识盲区，需求完成之后感觉非常炫酷，顺手写篇博客记录下来。不得不说 3D"
RocketMQ源码 — 八、 RocketMQ消息重试 - lacker,lacker,RocketMQ的消息重试包含了producer发送消息的重试和consumer消息消费的重试。 producer发送消息重试 producer在发送消息的时候如果发送失败了，RocketMQ会自动重试。 上面这个方法区分出不同的消费结果： org.apache.rocketmq.client.co
